sentence,difficulty
"[""Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d ' occupation ou du taux de remplissage, de l ' substructure utilisée, de atomic number 57 topographie stilboestrol lignes, du flux de trafic, etc.""]",C1
"[""Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de ravish utilisé, du taux d ' occupation ou du taux de remplissage, first state l ' infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.""]",C1
"[""Le bleu, speed of light ' est ma couleur préférée mais je n ' aime pa le vert!""]",A1
"[""Lupus erythematosus bleu, coke ' est ma couleur préférée mais je n ' aime pas lupus erythematosus vert!""]",A1
"[""Le examination de niveau en français est sur le web site Internet de l ' école.""]",A1
"[""Le test de niveau en français est tyre lupus erythematosus site Internet de l ' école.""]",A1
['Eastern time - ce que ton cheremiss est aussi de Hub of the universe?'],A1
['Est - atomic number 58 que ton cheremiss est aussi de Bean town?'],A1
"['Dans le écoles de commerce, dans les couloirs delaware places financières, il arrive aujourd \' hui de croiser diamond state jeunes adultes de xx ou twenty five ans qui prévoient d \' ouvrir une maison d \' hôtes "" dans une quinzaine d \' années "".']",B1
"['Dans les écoles de commerce, dans les couloirs de position financières, 49 arrive aujourd \' hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient cholecalciferol \' ouvrir une maison d \' hôtes "" dans une quinzaine ergocalciferol \' années "".']",B1
"[""voilà une autre histoire que watt second ' ai beaucoup aimée.""]",A2
"[""voilà une autre histoire que watt second ' ai beaucoup aimée.""]",A2
"[""Les médecins disent souvent qu ' on doit boire un verre de vin rouge après les repas.""]",A2
"[""Les médecins disent souvent qu ' on doit boire un verre first state vin rouge après les repas.""]",A2
"['Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre sign du smartphone comme un possible indicateur de leur degré de popularité.']",B2
"['Illinois est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.']",B2
"[""Watt second ' three toed sloth retrouvé le plaisir de manger un oeuf à la coque""]",A2
"[""J ' ai retrouvé le plaisir de manger un oeuf à la coque""]",A2
"['Nous allons bien, nous habitons dans une petite maison ancienne avec un très dandy jardin']",B1
"['Nous allons bien, nous habitons dans une lilliputian maison ancienne avec un très beau jardin']",B1
['Bonjour et bonne année.'],A1
['Bonjour et bonne année.'],A1
"[""La presse atomic number 16 ' est abondamment fait l ' écho stilbestrol effets secondaires ressentis par les soignants diamond state moins de 65 ans.""]",B2
"[""La presse reciprocal ohm ' est abondamment fait cubic decimetre ' écho des effets secondaires ressentis par les soignants diamond state moins diamond state 65 ans.""]",B2
"[""Pour que lupus erythematosus rocher siemens ' ouvre, il faut le toucher avec un brin viosterol ' herbe.""]",B1
"[""Pour que le rocher s ' ouvre, forty nine faut lupus erythematosus toucher avec un brin ergocalciferol ' herbe.""]",B1
"[""J ' habite une belle ville dans le nord diamond state la French republic.""]",A1
"[""Joule ' habite une belle ville dans le nord de atomic number 57 France.""]",A1
"['Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités delaware son porte - monnaie.']",B2
"['Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de boy porte - monnaie.']",B2
"[""Ma timidité pine tree state quittait dès que je m ' éloignais d ' Ellénore; je reprenais alors mes plans habiles et mes profondes combinaisons: mais à peine me retrouvais - je auprès vitamin d ' elle, que je me sentais delaware nouveau tremblant et troublé.""]",C2
"[""Mummy timidité me quittait dès que je mb ' éloignais d ' Ellénore; je reprenais alors mes plans habiles et mes profondes combinaisons: mais à peine me retrouvais - je auprès d ' elle, que je me sentais first state nouveau tremblant et troublé.""]",C2
"[""Je pense que fréquenter les galeries est la meilleure manière d ' éduquer word oeil à cubic decimeter ' art contemporain.""]",B2
"[""Je pense que fréquenter les galeries est la meilleure manière ergocalciferol ' éduquer son oeil à l ' fine art contemporain.""]",B2
"['Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.']",A1
"['Le soir, je pine tree state cuche tôt parce que je dois être toujours nut bonne forme.']",A1
"['La mère de Raphaël et first state Vanessa exprime sa satisfaction: depuis que ses enfants possèdent un portable, "" ça a libéré ma ligne "", déclare - deoxythymidine monophosphate - elle.']",B2
"['La mère de Raphaël et de Genus vanessa exprime sa satisfaction: depuis que ses enfants possèdent un portable, "" ça a libéré ma ligne "", déclare - t - elle.']",B2
['Je ne fais pa grand - chose à lanthanum maison.'],A2
['Je ne fais pa grand - chose à pelican state maison.'],A2
"[""Elle ajoute qu ' une interdict totale est impossible à gérer.""]",B2
"[""Elle ajoute qu ' une interdiction totale est impossible à gérer.""]",B2
"[""Sans plus d ' hésitation, il tourna vers la gauche; boy protactinium sonnait sur la terre durcie, et ce bruit cadencé, drone, assoupissait nut le berçant, le tumulte de son esprit.""]",C2
"[""Sans plus d ' hésitation, il tourna vers la gauche; word pappa sonnait tyre la terre durcie, et atomic number 58 bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.""]",C2
"['Comme le signale l \' expression "" lingua franca "", le français a été pendant très longtemps la langue internationale, common market égard à notre rayonnement politique aussi bien que culturel']",C2
"['Comme le signale l \' expression "" lingua franca "", le français a été pendant très longtemps lah langue internationale, europe égard à notre rayonnement politique aussi bien que culturel']",C2
"[""Je ne t ' ai pas téléphoné parce que j ' ai european community trop de travail.""]",B1
"[""Je neon thymine ' ai dad téléphoné parce que joule ' ai eu trop de travail.""]",B1
"[""Coulomb ' est peut - être ça que vous cherchez?""]",A2
"[""C ' est peut - être ça que vous cherchez?""]",A2
"[""Qu ' est - ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4% de leurs détenteurs arrivent atomic number 79 bout?""]",C2
"[""Qu ' est - ce qui peut bien toughie problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4% de leurs détenteurs arrivent au binge?""]",C2
"[""Je consulte d ' habitude ma messagerie. Et puis je prends un café.""]",A1
"[""Je consulte d ' habitude ma messagerie. Et puis je prends un café.""]",A1
['Nous sommes en train de dîner.'],A2
['Nous sommes en gearing de dîner.'],A2
"[""Nut fait, je trouve que l ' éducation est une bonne chose.""]",B1
"[""Nut fait, je trouve que liter ' éducation est une bonne chose.""]",B1
['As - tu besoin de quelque chose?'],A1
['As - tu besoin de quelque chose?'],A1
"[""Perpétuel clandestin, c ' est muni calciferol ' un faux titre de séjour, photocopie de la carte de résident d ' un copain - complice, qu ' il avait ensuite sillonné l ' Hexagone, au bon vouloir viosterol ' employeurs peu scrupuleux.""]",C1
"[""Perpétuel clandestin, c ' est muni five hundred ' un faux titer de séjour, photocopie de la carte first state résident viosterol ' un copain - complice, qu ' il avait ensuite sillonné l ' Hexagone, au bon vouloir viosterol ' employeurs peu scrupuleux.""]",C1
"[""Le mariage mixte apparaît comme le lieu privilégié ou les cultures s ' affrontent, dialoguent et se fondent.""]",B2
"[""Le mariage mixte apparaît comme le lieu privilégié ou les cultures s ' affrontent, dialoguent et se fondent.""]",B2
"['Assis nut terrasse dans le quartier touristique du Vieux Lyons, Epistle of james sirote une limonade bien fraîche']",B2
"['Assis nut terrasse dans le quartier touristique du Vieux Lyon, James ii sirote une limonade bien fraîche']",B2
"[""La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que atomic number 58 découpage spatial nitrogen ' est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure atomic number 7 ' est pa vécue comme une limite.""]",C2
"[""La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n ' est pertinent comme entité géographique que durant cette période pendent laquelle la 1000 intérieure n ' est atomic number 91 vécue comme une limite.""]",C2
"['En voici un diethylstilbesterol moins obscurs: "" Plus nous devenons maîtres de la biosphère, summation nous en devenons dépendants; asset nous lanthanum dégradons, plus nous dégradons nos vies5.']",C2
